TRAFFIC,,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#14,#14,#14,#14,#14
,,,,May 7,May 21,Jun 3,Jun 25,Jul 10,Jul 29,Aug 13,Aug 27,Sep 29,Oct 14,Oct 27,Nov 10,Nov 24,Dec 1,Jan 12,Jan 19,Jan 26,Mar 4,Mar 11
,novvid_period,0.23%,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
,timingprob2-aibroadmy,0.23%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
,120230301357890095,0.20%,6,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
,retarget_watchvidb4,0.17%,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
,nov_vid1_bizstucks,0.17%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,may_advid4aimbizowner,0.13%,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
,120230301601170095,0.13%,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
,120230301601240095,0.13%,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
,2026janpic1,0.13%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
,mayadvid4_aimbizowner,0.10%,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,mayadvid5,0.10%,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,may_advid6,0.10%,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,timing,0.10%,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
,julyroadppl-aibroadmy,0.10%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
,120222282696900227,0.07%,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mayadvid2,0.07%,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,julygif_info,0.07%,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,fbinbox,0.07%,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
